isAfterCommit;commitId;comment_lines;complexity;lines;statements
false;78a312f61c27b1819c7c551c55eecaaad0ee7f8d;6304;3802;29099;7841
true;78a312f61c27b1819c7c551c55eecaaad0ee7f8d;6304;3802;29099;7841
false;387176e83d3600a5d058ef5e0b2ffdb3deaca622;6227;3793;28923;7805
true;387176e83d3600a5d058ef5e0b2ffdb3deaca622;6283;3793;28994;7811
false;bfc40498bd9367d499510632dd69bf0b8c115444;6227;3789;28928;7803
true;bfc40498bd9367d499510632dd69bf0b8c115444;6227;3789;28928;7803
false;0de72f3abbccb15ef36a602304de75841d57f2a6;6216;3787;28914;7803
true;0de72f3abbccb15ef36a602304de75841d57f2a6;6227;3789;28928;7803
false;6091219aafa8ea9456fbc060a336efba57a1f903;6209;3777;28871;7777
true;6091219aafa8ea9456fbc060a336efba57a1f903;6211;3777;28876;7783
false;ee4a7034072ff6356b18a20cfc8353f47ca48a71;6194;3775;28830;7767
true;ee4a7034072ff6356b18a20cfc8353f47ca48a71;6223;3774;28864;7768
false;4a0419e5544eabc17251661f819a42facdf58da3;6174;3765;28751;7737
true;4a0419e5544eabc17251661f819a42facdf58da3;6174;3765;28751;7737
false;85d8ced2996fafc4d45167c3b88cd608017f66ca;6165;3765;28744;7739
true;85d8ced2996fafc4d45167c3b88cd608017f66ca;6176;3765;28753;7737
false;8c618780b74ec90226a6714d1ab60c10423f0df0;5559;3419;26731;7046
true;8c618780b74ec90226a6714d1ab60c10423f0df0;6165;3765;28744;7739
false;95bd2dde195cc6d5e654735f7ae1b57b1000fa4c;6139;3754;28642;7702
true;95bd2dde195cc6d5e654735f7ae1b57b1000fa4c;5559;3417;26715;7037
false;1bce75ed5323718b9401d6fa91a43ccb6046b797;6088;3721;28386;7609
true;1bce75ed5323718b9401d6fa91a43ccb6046b797;6119;3734;28524;7667
false;d07e53e9a0a23d964264a757a37a585abfece989;6069;3709;28288;7560
true;d07e53e9a0a23d964264a757a37a585abfece989;6088;3718;28373;7601
false;cb44430a3fb2d74ce5b53378ee02f140140b1061;6065;3682;28002;7422
true;cb44430a3fb2d74ce5b53378ee02f140140b1061;6065;3682;28000;7422
false;cf73ba2905c1967a44e586fd7afdfb75c5a1a0f4;6037;3677;27930;7405
true;cf73ba2905c1967a44e586fd7afdfb75c5a1a0f4;6037;3677;27930;7405
false;5a47eb85594666f310c3ce36f8060f0fb48a1171;5985;3667;27833;7401
true;5a47eb85594666f310c3ce36f8060f0fb48a1171;5985;3667;27833;7401
false;c7e8b724c7bb4ef1bacb2a3daa9c14324c84c4f6;5954;3663;27791;7401
true;c7e8b724c7bb4ef1bacb2a3daa9c14324c84c4f6;5981;3667;27830;7403
false;3776920807a2e3822811d4fef7f7f33f1c053ec4;5923;3492;27165;7098
true;3776920807a2e3822811d4fef7f7f33f1c053ec4;5923;3492;27165;7098
false;1cea2be9c1cccdfce789f08027db23d1b21d63aa;5921;3494;27112;7083
true;1cea2be9c1cccdfce789f08027db23d1b21d63aa;5921;3494;27112;7083
false;24a34088d82b8f69ab6d20ad7e685903ef7cb8ad;5907;3490;27093;7085
true;24a34088d82b8f69ab6d20ad7e685903ef7cb8ad;5919;3486;27086;7071
false;e13bf164ead7a251e13cf52049aa3f8bb0282ffc;5907;3492;27098;7086
true;e13bf164ead7a251e13cf52049aa3f8bb0282ffc;5907;3492;27098;7086
false;ca7adb59db16851de8b224ea0e3227818476f096;5905;3455;26981;7036
true;ca7adb59db16851de8b224ea0e3227818476f096;5905;3455;26981;7036
false;1d0f2e9d310f7afe4bed0002fdd2376237079732;5875;3421;26741;6928
true;1d0f2e9d310f7afe4bed0002fdd2376237079732;5875;3421;26741;6928
false;c6a13f970f654bce9d00696bd56f68d53ccd6a3d;5856;3414;26761;6942
true;c6a13f970f654bce9d00696bd56f68d53ccd6a3d;5875;3445;26730;6948
false;c6de1ab56c12dac35e3a9c80d83f1805605fd740;5800;3417;26705;6947
true;c6de1ab56c12dac35e3a9c80d83f1805605fd740;5856;3418;26768;6947
false;6854fee73ecb335e3782ff687aac5d12fb8790c6;5437;3345;26170;6824
true;6854fee73ecb335e3782ff687aac5d12fb8790c6;5411;3333;26093;6797
false;131bd2c2cde24005ec7450b73c01614e059b91fa;5441;3332;26116;6792
true;131bd2c2cde24005ec7450b73c01614e059b91fa;5441;3334;26121;6798
false;88d5f5d76c711dbf5c939ab3d00d2bb3919e1f9a;5436;3332;26049;6792
true;88d5f5d76c711dbf5c939ab3d00d2bb3919e1f9a;5436;3332;26049;6792
false;fdbfe0f84b401d596c41b2c59c33d52ef97e36c6;5436;3332;26037;6792
true;fdbfe0f84b401d596c41b2c59c33d52ef97e36c6;5436;3332;26037;6792
false;fad43842a4b795f35ba36b0efa94be2deb5b5ad1;5406;3309;25901;6747
true;fad43842a4b795f35ba36b0efa94be2deb5b5ad1;5406;3309;25901;6747
false;4b448a877cedec4e1029fdeb30542389dc87775a;5406;3309;25902;6747
true;4b448a877cedec4e1029fdeb30542389dc87775a;5406;3309;25901;6747
false;f090af229251a78bcb1dfa58655fd88442210c98;5406;3309;25902;6747
true;f090af229251a78bcb1dfa58655fd88442210c98;5406;3309;25902;6747
false;ba8684dfc7b757082e4a313e8b88b2e7f886c029;5364;3277;25712;6682
true;ba8684dfc7b757082e4a313e8b88b2e7f886c029;5364;3277;25712;6682
false;da1aad7b928015a5734f39778ca98df82a886501;5346;3273;25663;6671
true;da1aad7b928015a5734f39778ca98df82a886501;5364;3277;25712;6682
false;677fb934943219d0970f65cd088be1414fcb65f5;5258;3193;25281;6526
true;677fb934943219d0970f65cd088be1414fcb65f5;5270;3195;25298;6529
false;8ade41b2704442ff68649c2b7d5db4358e952fcd;5234;3191;25274;6530
true;8ade41b2704442ff68649c2b7d5db4358e952fcd;5234;3191;25274;6530
false;cb22fb54e8b414d4d324cb0d9e4d3fbf4340a2c4;5184;3167;25166;6490
true;cb22fb54e8b414d4d324cb0d9e4d3fbf4340a2c4;5234;3191;25274;6530
false;6e5846d20602f6324ae7d0195316050ec3bc6bb2;5121;3096;24907;6402
true;6e5846d20602f6324ae7d0195316050ec3bc6bb2;5126;3110;24924;6407
false;95be8b2cf3f884d58a71db8b367b5486fa9f274c;5089;3053;24771;6360
true;95be8b2cf3f884d58a71db8b367b5486fa9f274c;5107;3058;24794;6360
false;990e73fce6d5628127995250a8f8d8401ffb0434;5062;3047;24706;6343
true;990e73fce6d5628127995250a8f8d8401ffb0434;5088;3051;24753;6352
false;b7f7ba06b9c4cee6e284c9ea966ed526db07af26;5088;2994;24556;6269
true;b7f7ba06b9c4cee6e284c9ea966ed526db07af26;5024;2951;24353;6209
false;2afbe9514b866f6c6f1b6636c97996781917f8e4;5078;2955;24355;6171
true;2afbe9514b866f6c6f1b6636c97996781917f8e4;5078;2955;24355;6171
false;4590be7b657870b15ad8e6ff1803bacf3b6ef286;5071;2953;24344;6170
true;4590be7b657870b15ad8e6ff1803bacf3b6ef286;5078;2955;24355;6171
